year,temp_cairo,global_temp_data,avg_temp_cairo,avg_temp_global
1808,17.11,7.63,,
1809,19.87,7.08,,
1810,19.93,6.92,,
1811,20,6.86,,
1812,19.93,7.05,,
1813,20.51,7.74,,
1814,20.43,7.59,,
1815,20.3,7.24,19,7
1816,20.51,6.94,19,7
1817,21.88,6.98,20,7
1818,11.6,7.83,19,7
1819,20.31,7.37,19,7
1820,20.58,7.62,19,7
1821,20.63,8.09,19,7
1822,20.72,8.19,19,7
1823,20.71,7.72,19,7
1824,21.44,8.55,19,7
1825,21,8.39,19,7
1826,20.94,8.36,19,8
1827,21.63,8.81,20,8
1828,20.99,8.17,20,8
1829,20.91,7.94,20,8
1830,21.25,8.52,21,8
1831,20.52,7.64,21,8
1832,20.2,7.45,20,8
1833,20.81,8.01,20,8
1834,20.69,8.15,20,8
1835,20.17,7.39,20,8
1836,20.59,7.7,20,7
1837,20.27,7.38,20,7
1838,20.21,7.51,20,7
1839,20.43,7.63,20,7
1840,20.56,7.8,20,7
1841,20.91,7.69,20,7
1842,20.92,8.02,20,7
1843,20.83,8.17,20,7
1844,20.66,7.65,20,7
1845,20.9,7.85,20,7
1846,21.57,8.55,20,7
1847,21.1,8.09,20,7
1848,20.89,7.98,20,7
1849,20.9,7.98,20,7
1850,20.39,7.9,20,8
1851,21.11,8.18,20,8
1852,21.04,8.1,20,8
1853,21.53,8.04,21,8
1854,20.74,8.21,21,8
1855,21.04,8.11,20,8
1856,20.49,8,20,8
1857,20.29,7.76,20,8
1858,20.9,8.1,20,8
1859,20.98,8.25,20,8
1860,21.33,7.96,20,8
1861,20.21,7.85,20,8
1862,20.22,7.56,20,7
1863,20.6,8.11,20,7
1864,21.25,7.98,20,7
1865,21.55,8.18,20,7
1866,21.35,8.29,20,8
1867,21.45,8.44,20,8
1868,20.94,8.25,20,8
1869,21.41,8.43,20,8
1870,21.3,8.2,21,8
1871,20.87,8.12,21,8
1872,21.14,8.19,21,8
1873,21.4,8.35,21,8
1874,20.77,8.43,21,8
1875,19.99,7.86,21,8
1876,21.05,8.08,20,8
1877,21.39,8.54,21,8
1878,21.54,8.83,21,8
1879,21.49,8.17,21,8
1880,21.2,8.12,21,8
1881,21.56,8.27,21,8
1882,20.38,8.13,21,8
1883,20.65,7.98,21,8
1884,20.23,7.77,21,8
1885,20.91,7.92,21,8
1886,20.55,7.95,20,8
1887,21.21,7.91,20,8
1888,21.04,8.09,20,8
1889,21.05,8.32,20,8
1890,21.09,7.97,20,8
1891,21.13,8.02,20,7
1892,21.39,8.07,20,8
1893,20.57,8.06,20,8
1894,20.95,8.16,20,8
1895,20.97,8.15,21,8
1896,21.17,8.21,21,8
1897,20.82,8.29,21,8
1898,20.92,8.18,21,8
1899,21.04,8.4,20,8
1900,21.57,8.5,21,8
1901,21.89,8.54,21,8
1902,21.36,8.3,21,8
1903,20.39,8.22,21,8
1904,20.61,8.09,21,8
1905,21.03,8.23,21,8
1906,21.24,8.38,21,8
1907,20.45,7.95,21,8
1908,20.37,8.19,20,8
1909,21.4,8.18,20,8
1910,20.65,8.22,20,8
1911,20.78,8.18,20,8
1912,20.79,8.17,20,8
1913,20.4,8.3,20,8
1914,20.96,8.59,20,8
1915,21.57,8.59,20,8
1916,21.73,8.23,20,8
1917,21.12,8.02,21,8
1918,21.43,8.13,21,8
1919,21.43,8.38,21,8
1920,20.72,8.36,21,8
1921,20.73,8.57,21,8
1922,21.39,8.41,21,8
1923,21.39,8.42,21,8
1924,21.61,8.51,21,8
1925,21.37,8.53,21,8
1926,21.22,8.73,21,8
1927,21.76,8.52,21,8
1928,21.72,8.63,21,8
1929,21.07,8.24,21,8
1930,21.73,8.63,21,8
1931,21.6,8.72,21,8
1932,21.43,8.71,21,8
1933,21.24,8.34,21,8
1934,21.52,8.63,21,8
1935,21.61,8.52,21,8
1936,22,8.55,21,8
1937,21.82,8.7,21,8
1938,20.92,8.86,21,8
1939,21.85,8.76,21,8
1940,21.59,8.76,21,8
1941,21.76,8.77,21,8
1942,21.59,8.73,21,8
1943,21.35,8.76,21,8
1944,21.4,8.85,21,8
1945,20.83,8.58,21,8
1946,21.76,8.68,21,8
1947,21.94,8.8,21,8
1948,20.88,8.75,21,8
1949,20.68,8.59,21,8
1950,21.53,8.37,21,8
1951,21.82,8.63,21,8
1952,21.92,8.64,21,8
1953,21.17,8.87,21,8
1954,21.45,8.56,21,8
1955,22.1,8.63,21,8
1956,21.48,8.28,21,8
1957,21.49,8.73,21,8
1958,21.85,8.77,21,8
1959,20.98,8.73,21,8
1960,22.3,8.58,21,8
1961,21.14,8.8,21,8
1962,22.11,8.75,21,8
1963,22.09,8.86,21,8
1964,21.07,8.41,21,8
1965,21.52,8.53,21,8
1966,22.1,8.6,21,8
1967,20.92,8.7,21,8
1968,21.48,8.52,21,8
1969,21.88,8.6,21,8
1970,21.53,8.7,21,8
1971,21.41,8.6,21,8
1972,21.57,8.5,21,8
1973,21.42,8.95,21,8
1974,21.55,8.47,21,8
1975,21.35,8.74,21,8
1976,21.28,8.35,21,8
1977,21.57,8.85,21,8
1978,21.67,8.69,21,8
1979,22.06,8.73,21,8
1980,21.52,8.98,21,8
1981,21.42,9.17,21,8
1982,21.04,8.64,21,8
1983,20.75,9.03,21,8
1984,21.32,8.69,21,8
1985,21.72,8.66,21,8
1986,21.52,8.83,21,8
1987,21.24,8.99,21,8
1988,21.65,9.2,21,8
1989,21.43,8.92,21,8
1990,21.6,9.23,21,8
1991,21.65,9.18,21,8
1992,21.11,8.84,21,8
1993,21.79,8.87,21,8
1994,22.02,9.04,21,9
1995,21.56,9.35,21,9
1996,21.88,9.04,21,9
1997,21.45,9.2,21,9
1998,22.36,9.52,21,9
1999,22.28,9.29,21,9
2000,21.49,9.2,21,9
2001,22.33,9.41,21,9
2002,22.41,9.57,21,9
2003,22.17,9.53,21,9
2004,22.08,9.32,22,9
2005,22.01,9.7,22,9
2006,22.05,9.53,22,9
2007,22.36,9.73,22,9
2008,22.64,9.43,22,9
2009,22.63,9.51,22,9
2010,23.72,9.7,22,9
2011,21.99,9.52,22,9
2012,22.48,9.51,22,9
2013,22.91,9.61,22,9
